"response_id,nps_score,feedback_text,response_date,member_location"
"RESP_033,1,""Horrible communication. Changed my appointment without telling me. Showed up and they said my new time was the next day. Complete waste of time and incredibly unprofessional."",2026-01-04,San Francisco"
"RESP_034,8,""Very thorough scan and helpful staff. Appreciated the detailed report. Only wish the initial booking process was smoother - had some technical issues."",2026-01-04,Denver"
"RESP_035,6,""Decent experience but nothing exceptional for the price. Scan was fine, staff was adequate, results came back on time. Expected more 'wow' factor."",2026-01-03,Los Angeles"
"RESP_036,10,""This is healthcare innovation at its finest. From the seamless booking to the comprehensive results review, every detail was perfect. Worth every dollar."",2026-01-03,Toronto"
"RESP_037,3,""Tried to reach my Scan Advisor about a concerning finding for 3 days. Left two voicemails and sent two messages through the portal. Finally got a generic response that didn't address my specific question."",2026-01-02,London"
"RESP_038,7,""Overall positive experience. Facility was state-of-the-art and staff was knowledgeable. Follow-up could have been a bit more personal but still good."",2026-01-02,Boston"
"RESP_039,2,""System sent me a reminder for the wrong date and time. When I showed up they had no appointment for me. Took 30 minutes to straighten out. Their system clearly has issues."",2026-01-01,Chicago"
"RESP_040,9,""Exceeded expectations in every way. The preventive approach and thoroughness gives me real peace of mind. Already planning to make this an annual routine."",2026-01-01,Miami"
"RESP_041,4,""Website crashed three times while I was trying to enter payment information. Finally had to call to complete booking. For a tech-forward company this is embarrassing."",2025-12-31,Seattle"
"RESP_042,8,""Great scan experience. Technician was excellent at explaining what they were looking at. Results were comprehensive. Booking process could be more intuitive."",2025-12-31,Austin"
"RESP_043,5,""Scan was fine but the administrative side needs work. Multiple emails with conflicting information about what to bring, what to wear, etc. Left me confused."",2025-12-30,New York"
"RESP_044,10,""Absolutely worth it. Caught an early stage issue that would have gone undetected for years otherwise. The team's expertise potentially saved my life."",2025-12-30,San Francisco"
"RESP_045,3,""Requested to change locations. Request was ignored. Had to escalate to get it changed."",2025-12-29,Denver"
"RESP_046,6,""Decent overall but felt a bit rushed during the results review. Would have liked more time to ask questions. Scan quality seems good though."",2025-12-29,Los Angeles"
"RESP_047,1,""Cancelled my appointment less than 24 hours before due to a family emergency. Was charged $200 cancellation fee with no flexibility or compassion. Will not return."",2025-12-28,Toronto"
"RESP_048,9,""Top-notch experience from beginning to end. The level of detail in the scan and results report is incredible. Feel like I finally have a complete picture of my health."",2025-12-28,London"
"RESP_049,4,""Booking availability is extremely limited. Couldn't get an appointment for almost 3 months at my preferred location. For something marketed as preventive care that's too long."",2025-12-27,Boston"
"RESP_050,7,""Good experience overall. Facility was clean and modern. Staff was professional. Results came back as promised. Would recommend with minor reservations."",2025-12-27,Chicago"
"RESP_051,3,""No one told me I needed to fast before the scan. Got there and they said I needed to reschedule. Communication about preparation requirements was completely inadequate."",2025-12-26,Miami"
"RESP_052,10,""This is preventive medicine done right. Comprehensive, professional, and actually enjoyable. Never thought I'd say that about a medical procedure."",2025-12-26,Seattle"
"RESP_053,2,""Waited 4 weeks for results despite being told 10 days. When I called to check status I kept getting transferred and no one could give me a straight answer. Terrible communication."",2025-12-25,Austin"
"RESP_054,8,""Really impressed with the thoroughness of the scan and the expertise of the radiologist. Minor administrative hiccups but nothing that affected the core experience."",2025-12-25,New York"
"RESP_055,5,""Scan was good but the check-in process at the facility was disorganized. Waited 20 minutes while they figured out their system. Not a great first impression."",2025-12-24,San Francisco"
"RESP_056,9,""Excellent in every dimension. Staff was warm and knowledgeable, scan was comprehensive, results were delivered clearly and on time. Very satisfied."",2025-12-24,Denver"
"RESP_057,4,""Tried to upload documents through the portal before my appointment but the upload kept failing. Called support and they said it's a known issue. Why isn't it fixed?"",2025-12-23,Los Angeles"
"RESP_058,7,""Generally positive experience. Scan quality is clearly high-end. Follow-up could be more proactive - felt like I had to chase for information."",2025-12-23,Toronto"
"RESP_059,1,""Missed my appointment because the confirmation email had the wrong address. Drove to the location in the email and it was a completely different facility. Lost hours of my day."",2025-12-22,London"
"RESP_060,10,""Cannot recommend highly enough. This is healthcare at the highest level. Every touchpoint demonstrated competence, care, and attention to detail."",2025-12-22,Boston"
"RESP_061,3,""Online scheduling system doesn't show real availability. Selected multiple slots that all said 'available' but got errors when trying to book. Wasted 45 minutes before calling."",2025-12-21,Chicago"
"RESP_062,8,""Very professional experience. The scan technology is impressive and the staff clearly knows their stuff. Booking process could be streamlined but overall very good."",2025-12-21,Miami"
"RESP_063,6,""Fine experience but didn't feel particularly special for the premium price. Scan was thorough and staff was competent but nothing exceptional."",2025-12-20,Seattle"
"RESP_064,9,""Impressed with how seriously they take every finding, even minor ones. The thoroughness and follow-up care is exactly what preventive medicine should be."",2025-12-20,Austin"
"RESP_065,2,""Customer service is non-existent. Tried to get clarification about my bill for a week. Multiple calls, multiple emails, no response. Finally disputed with my credit card."",2025-12-19,New York"
"RESP_066,7,""Good scan, decent facility, professional staff. Nothing stood out as exceptional but also nothing major to complain about. Solid experience overall."",2025-12-19,San Francisco"
"RESP_067,4,""Scheduled for 2pm. Got a text at 1:45pm saying my appointment was moved to 4pm due to equipment issues. Would have appreciated more notice. Threw off my whole day."",2025-12-18,Denver"
"RESP_068,10,""This is the gold standard for preventive health screening. The combination of technology, expertise, and customer service is unmatched. Worth every penny."",2025-12-18,Los Angeles"
"RESP_069,5,""Mixed bag. Scan itself was great. But between booking difficulties, communication issues, and slow results, the overall experience was just okay."",2025-12-17,Toronto"
"RESP_070,8,""Really positive experience overall. A few small hiccups with scheduling but the core service - the scan and results review - was excellent."",2025-12-17,London"
"RESP_071,3,""Got my results but they were missing key sections that were promised in the brochure. When I asked about it I was told that's 'only available in certain cases.' Felt like bait and switch."",2025-12-16,Boston"
"RESP_072,9,""Outstanding service from start to finish. Every person I interacted with was knowledgeable, responsive, and genuinely seemed to care about my health outcomes."",2025-12-16,Chicago"
"RESP_073,1,""Tried to reschedule my appointment 5 days in advance. Was told I'd have to pay a fee. Policy says 48 hours notice but apparently 5 days isn't enough? Makes no sense."",2025-12-15,Miami"
"RESP_074,6,""Decent experience but room for improvement. Scan quality seems good but the whole process felt a bit impersonal. More of a factory than a healthcare experience."",2025-12-15,Seattle"
"RESP_075,4,""Results portal is confusing and difficult to navigate. Took me 20 minutes to find my actual report. For a company focused on user experience this is disappointing."",2025-12-14,Austin"
"RESP_076,10,""Life-changing experience. The insights from the scan and the expertise of the medical team gave me a roadmap for optimizing my health. Cannot thank them enough."",2025-12-14,New York"
"RESP_077,3,""Facility was cold, uncomfortable, and the gown they provided was paper thin. Not what I expected for the premium price. Core scan was fine but experience was lacking."",2025-12-13,San Francisco"
"RESP_078,7,""Solid experience. No major complaints but also nothing that really wowed me. Good scan quality and professional staff. Does what it promises."",2025-12-13,Denver"
"RESP_079,9,""Impressed with how comprehensive the scan is and how knowledgeable the radiologist was. Feel much more confident about my health now."",2026-01-16,New York"
"RESP_080,9,""Extremely thorough and professional. The medical provider spent significant time explaining my results and answering questions. Felt genuinely cared for throughout."",2025-12-12,Toronto"
"RESP_081,5,""Scan was good but follow-up was lacking. Had questions about my results and it took multiple attempts to get connected with someone who could help."",2025-12-11,London"
"RESP_082,8,""Very impressed with the medical side. Scan technology is clearly cutting-edge. Administrative processes could use some refinement but overall excellent."",2025-12-11,Boston"
"RESP_083,4,""Website promised 'concierge service' but I've felt like just a number. Generic automated emails, difficulty getting personalized responses. Not the experience I paid for."",2025-12-10,Chicago"
"RESP_084,10,""Flawless execution. From the initial consultation to the final results review, every interaction exceeded expectations. This is healthcare innovation."",2025-12-10,Miami"
"RESP_085,3,""Had a question about prep requirements and sent a message through the portal 5 days before my scan. Never got a response. Had to call day-of to confirm."",2025-12-09,Seattle"
"RESP_086,7,""Generally good experience. Few administrative issues but the core medical service was solid. Would use again despite the hiccups."",2025-12-09,Austin"
"RESP_087,1,""Results contained obvious errors (wrong age, wrong medical history). When I pointed it out they said it was a 'system glitch.' How can I trust the scan results if basic data is wrong?"",2025-12-08,New York"
"RESP_088,9,""Phenomenal service. The attention to detail and thoroughness is exactly what I was looking for. Finally feel like I have a true health partner."",2025-12-08,San Francisco"
"RESP_089,6,""Okay experience. Nothing terrible but nothing exceptional either. Scan was fine, staff was fine, results were fine. Just...fine."",2025-12-07,Denver"
"RESP_090,10,""Best healthcare investment I've ever made. The peace of mind knowing I have a comprehensive baseline is invaluable. The team went above and beyond."",2025-12-07,Los Angeles"
"RESP_091,3,""Tried to access my results online but the portal kept saying 'error loading document.' Called support and they couldn't fix it. Had to wait for them to email me a PDF days later."",2025-12-06,Toronto"
"RESP_092,8,""Impressed with the professionalism and thoroughness. Staff took time to explain everything. Only minor issue was some confusion about billing but they sorted it out."",2025-12-06,London"
"RESP_093,5,""Scan was fine but the pre-scan communication was lacking. Wasn't clear what I needed to do to prepare. Had to call multiple times to get answers."",2025-12-05,Boston"
"RESP_094,9,""Everything about this experience was top-tier. From booking to results delivery, felt like VIP treatment. This is how healthcare should work."",2025-12-05,Chicago"
"RESP_095,2,""Scheduled my scan weeks in advance. Three days before, got an email saying the facility cancelled due to 'staffing issues.' No help finding alternative. Had to start search over."",2025-12-04,Miami"
"RESP_096,7,""Good experience with some rough edges. Scan quality was excellent, staff was knowledgeable. Booking and scheduling processes need work."",2025-12-04,Seattle"
"RESP_097,4,""Follow-up after my scan has been terrible. Have questions about my results but can't get anyone to call me back. Left three messages over 10 days."",2025-12-03,Austin"
"RESP_098,10,""Cannot say enough positive things. Early detection from this scan may have saved my life. The care and expertise throughout the process was exceptional."",2025-12-03,New York"
"RESP_099,6,""Middle-of-the-road experience. Nothing went terribly wrong but nothing impressed me either. For the premium price, expected more."",2025-12-02,San Francisco"
"RESP_100,8,""Very satisfied overall. Few minor hiccups but the core service was excellent. Would definitely recommend to friends and family."",2025-12-02,Denver"
"RESP_101,3,""Booking system is a disaster. Tried three different browsers, all gave errors. Spent an hour on phone being transferred between departments to finally book."",2025-12-01,Los Angeles"
"RESP_102,9,""Exceptional from start to finish. The technology, the expertise, the communication - all world-class. This is preventive healthcare done right."",2025-12-01,Toronto"
"RESP_103,5,""Scan itself was good but everything around it was frustrating. Communication delays, scheduling issues, confusing billing. The medical team saved this from being a 2."",2025-11-30,London"
"RESP_104,10,""Absolutely blown away by the quality of service. Every detail was thought through. Feel so much better about my health having this comprehensive assessment."",2025-11-30,Boston"
"RESP_105,2,""Tried to get my scan moved due to COVID exposure. Was told I'd have to pay cancellation fee even though it was for public health. No empathy or flexibility."",2025-11-29,Chicago"
"RESP_106,7,""Pretty good overall. Scan was thorough, staff was friendly. Some administrative confusion but nothing that ruined the experience."",2025-11-29,Miami"
"RESP_107,4,""Results review felt rushed. Had prepared questions but the medical provider seemed in a hurry. For what I paid, expected more time and attention."",2025-11-28,Seattle"
"RESP_108,9,""Outstanding experience. The scan caught something important early. The team's follow-up and care coordination has been excellent. Grateful I did this."",2025-11-28,Austin"
"RESP_109,6,""Fine but unspectacular. Scan was done professionally, got results on time. Nothing particularly memorable about the experience."",2025-11-27,New York"
"RESP_110,10,""This is healthcare at its absolute best. Every touchpoint was excellent. Already planning my next annual scan. Worth every single penny."",2025-11-27,San Francisco"
"RESP_111,3,""Communication about what to expect was poor. Scan took much longer than I was told. No updates during the process. Left feeling frustrated."",2025-11-26,Denver"
"RESP_112,8,""Really positive experience. Minor issues with parking and facility signage but the medical care and results delivery were excellent."",2025-11-26,Los Angeles"
"RESP_113,5,""Mixed feelings. The scan technology is impressive but customer service needs major improvement. Too many dropped balls in communication."",2025-11-25,Toronto"
"RESP_114,9,""Exceeded all expectations. The team's expertise and the thoroughness of the scan gave me incredible peace of mind. Highly recommend."",2025-11-25,London"
"RESP_115,1,""Worst healthcare experience I've had. Multiple reschedules not initiated by me, terrible communication, and when I complained was treated dismissively. Would give zero stars if I could."",2025-11-24,Boston"
"RESP_116,7,""Solid experience overall. Nothing went wrong but nothing particularly stood out either. Good baseline preventive care."",2025-11-24,Chicago"
"RESP_117,4,""Facility was dated and uncomfortable. For a premium service expected better amenities. Scan itself was fine but overall experience disappointing."",2025-11-23,Miami"
"RESP_118,10,""Incredible service from beginning to end. The insights from my scan are genuinely life-changing. Cannot thank the team enough for their expertise and care."",2025-11-23,Seattle"
"RESP_119,6,""Decent scan, decent service. Nothing special but also no major problems. Does what it says on the tin."",2025-11-22,Austin"
"RESP_120,8,""Very good experience overall. Staff was knowledgeable and caring. Few administrative hiccups but nothing that significantly impacted my experience."",2025-11-22,New York"
"RESP_121,3,""Tried to ask questions before my scan about what to expect. Sent two emails, left one voicemail. Never heard back. Went in blind which was stressful."",2025-11-21,San Francisco"
"RESP_122,9,""Fantastic experience. The level of detail in my results report was incredible. Feel like I have a real roadmap for my health now."",2025-11-21,Denver"
"RESP_123,5,""Scan was fine. Everything else was mediocre. For what you pay, expected white-glove service. Got average healthcare experience."",2025-11-20,Los Angeles"
"RESP_124,10,""Best decision I've made for my health. The scan found something important that would have gone undetected. The team's expertise is unmatched."",2025-11-20,Toronto"
"RESP_125,2,""Had concerning finding in my results. Took 4 days to get someone to discuss it with me despite marking messages as urgent. Unacceptable for health matters."",2025-11-19,London"
"RESP_126,7,""Good solid experience. Nothing exceptional but no major complaints. Would use again for annual checkup."",2025-11-19,Boston"
"RESP_127,4,""Website is confusing, booking process is clunky, confirmation emails are unclear. The actual scan was fine but getting there was unnecessarily difficult."",2025-11-18,Chicago"
"RESP_128,9,""Excellent from every angle. Professional, thorough, responsive. This is what healthcare should look like in 2025."",2025-11-18,Miami"
"RESP_129,6,""Adequate experience. Nothing wrong per se but also nothing that made me feel like I got exceptional value for the premium price."",2025-11-17,Seattle"
"RESP_130,10,""Cannot recommend highly enough. Life-changing insights, world-class expertise, genuinely caring staff. This is preventive medicine at its finest."",2025-11-17,Austin"
"RESP_131,3,""Got to facility for my appointment. They couldn't find my paperwork. Spent 30 minutes sorting it out while waiting room backed up. Poor systems."",2025-11-16,New York"
"RESP_132,8,""Very pleased with the experience. Scan was comprehensive, results were detailed, staff was professional. Minor issues with appointment timing but overall great."",2025-11-16,San Francisco"
"RESP_133,5,""Results were good but took longer than promised. Communication about delays was non-existent. Had to keep following up to get updates."",2025-11-15,Denver"
"RESP_134,9,""Impressed on all fronts. The technology, the expertise, the service. This is exactly what I was hoping for in preventive care."",2025-11-15,Los Angeles"
"RESP_135,1,""Cancellation policy is draconian. Had legitimate emergency and was still charged full fee. No humanity in their policies. Will not return."",2025-11-14,Toronto"
"RESP_136,7,""Generally good experience. Scan was thorough and professional. Some communication gaps but nothing that ruined the overall experience."",2025-11-14,London"
"RESP_137,4,""Expected concierge service based on marketing. Got standard healthcare experience with some nice touches. Not worth the premium price in my opinion."",2025-11-13,Boston"
"RESP_138,10,""Perfect experience from first contact to final follow-up. The scan potentially saved my life by catching something early. Forever grateful."",2025-11-13,Chicago"
"RESP_139,6,""Okay experience overall. Scan was done well, results were comprehensive. Service was just average though - nothing particularly memorable."",2025-11-12,Miami"
"RESP_140,8,""Really good experience with minor administrative hiccups. The medical side was excellent - professional, thorough, and caring staff."",2025-11-12,Seattle"
"RESP_141,3,""Portal for accessing results is terrible. Confusing interface, kept getting logged out, couldn't find what I needed. Very frustrating user experience."",2025-11-11,Austin"
"RESP_142,9,""Outstanding service. Every interaction was professional and helpful. The scan quality and results delivery exceeded my expectations."",2025-11-11,New York"
"RESP_143,5,""Scan itself was good but overall experience was just okay. Too many small annoyances and communication issues to feel great about the value."",2025-11-10,San Francisco"
"RESP_144,10,""This is what healthcare should be. Preventive, thorough, professional, and caring. The insights I gained are invaluable. Highly recommend."",2025-11-10,Denver"
"RESP_145,2,""Tried to get answers to billing questions for three weeks. Multiple calls, multiple emails, zero response. Finally had to dispute with insurance."",2025-11-09,Los Angeles"
"RESP_146,7,""Good experience with some rough edges. The core service - the scan - was excellent. Administrative processes need improvement."",2025-11-09,Toronto"
"RESP_147,4,""Prep instructions were confusing and contradictory. Got different information from website vs email vs phone. Made me anxious before scan."",2025-11-08,London"
"RESP_148,9,""Phenomenal experience. The team's expertise and the quality of the scan gave me real peace of mind about my health. Worth every dollar."",2025-11-08,Boston"
"RESP_149,6,""Decent but not amazing. Scan was fine, staff was competent. For premium pricing expected more premium experience throughout."",2025-11-07,Chicago"
"RESP_150,10,""Absolutely exceptional. From booking to results to follow-up, everything was flawless. This is the gold standard for preventive healthcare."",2025-11-07,Miami"
"RESP_151,3,""Scheduled scan at a facility 30 minutes away. Day before got email saying it was moved to facility 90 minutes away. No apology or explanation."",2025-11-06,Seattle"
"RESP_152,8,""Very satisfied with the experience. Professional staff, thorough scan, detailed results. Minor scheduling issues but nothing major."",2025-11-06,Austin"
"RESP_153,5,""Middle of the road. Nothing went terribly wrong but nothing impressed me either. Felt like a transaction more than healthcare."",2025-11-05,New York"
"RESP_154,9,""Excellent experience from start to finish. The scan found something important and the team's follow-up care has been outstanding."",2025-11-05,San Francisco"
"RESP_155,1,""Showed up for appointment that was supposedly confirmed. They had cancelled it without telling me. Lost entire afternoon and never got apology."",2025-11-04,Denver"
"RESP_156,7,""Pretty good overall. Few bumps in the road but the core medical service was solid. Would probably use again."",2025-11-04,Los Angeles"
"RESP_157,4,""For the price paid, expected much better customer service. Multiple touch points where communication failed. Scan itself was fine."",2025-11-03,Toronto"
"RESP_158,10,""Life-changing experience. The preventive insights and early detection are priceless. The team's expertise and care were exceptional."",2025-11-03,London"
"RESP_159,6,""Fine but unremarkable. Got what I paid for but nothing more. Solid preventive scan without the premium service experience."",2025-11-02,Boston"
"RESP_160,8,""Really positive experience overall. Some minor administrative issues but the medical care and scan quality were excellent."",2025-11-02,Chicago"
"RESP_161,3,""Communication is the worst part. Questions go unanswered, updates are delayed, have to chase for basic information. Very frustrating."",2025-11-01,Miami"
"RESP_162,9,""Impressed with every aspect. Professional, thorough, responsive. This is exactly what preventive healthcare should look like."",2025-11-01,Seattle"
"RESP_163,5,""Scan was good. Everything else was just okay. Expected more for the premium price point. Felt like paying luxury for economy service."",2025-10-31,Austin"
"RESP_164,10,""Cannot say enough good things. The scan, the team, the care - all exceptional. Best healthcare investment I've made."",2025-10-31,New York"
"RESP_165,2,""Billing was a nightmare. Charges didn't match quote, insurance submission was wrong, took months to sort out. Still not fully resolved."",2025-10-30,San Francisco"
"RESP_166,7,""Good experience with some hiccups. Scan quality was excellent, staff was professional. Booking and scheduling processes could improve."",2025-10-30,Denver"
"RESP_167,4,""Results portal is buggy and difficult to use. Had technical issues accessing my reports. For a tech-forward company this is disappointing."",2025-10-29,Los Angeles"
"RESP_168,9,""Outstanding experience. The thoroughness of the scan and the expertise of the medical team gave me incredible insights into my health."",2025-10-29,Toronto"
"RESP_169,6,""Adequate service. Nothing special but got the job done. Scan was professional, results were delivered, but overall experience was forgettable."",2025-10-28,London"
"RESP_170,10,""Perfect experience in every way. Professional, caring, thorough. This is preventive medicine at the highest level. Absolutely recommend."",2025-10-28,Boston"
"RESP_171,3,""Tried to reach Care team about results question for a week. Multiple attempts through different channels. Finally got generic unhelpful response."",2025-10-27,Chicago"
"RESP_172,8,""Very good experience overall. Professional service, quality scan, detailed results. Some communication delays but nothing that significantly impacted things."",2025-10-27,Miami"
"RESP_173,5,""Scan itself was good but customer experience needs work. Too many administrative issues and communication gaps for the premium price."",2025-10-26,Seattle"
"RESP_174,9,""Excellent service from beginning to end. The scan quality and medical expertise are top-notch. Minor scheduling issues but overall very satisfied."",2025-10-26,Austin"
"RESP_175,1,""Absolute mess from start to finish. Booking problems, rescheduling without notice, results delayed, customer service non-responsive. Would not recommend."",2025-10-25,New York"
"RESP_176,7,""Decent experience overall. Nothing exceptional but solid service. Scan was thorough and staff was professional."",2025-10-25,San Francisco"
"RESP_177,4,""Lots of small issues that added up. Booking glitches, unclear communication, delayed results. Scan itself was fine but overall experience disappointing."",2025-10-24,Denver"
"RESP_178,10,""Incredible experience. The insights from the scan are genuinely valuable and the team's care throughout the process was exceptional."",2025-10-24,Los Angeles"
"RESP_179,6,""Okay but not great. Scan was professional, results were delivered. Overall experience was just average despite premium positioning."",2025-10-23,Toronto"
"RESP_180,8,""Really pleased with the experience. Some minor issues but the core service was excellent. Professional staff and thorough scan."",2025-10-23,London"
"RESP_181,3,""Website says 'rapid response to questions' but I've been waiting 5 days for answer to simple scheduling question. False advertising."",2025-10-22,Boston"
"RESP_182,9,""Phenomenal service. The scan technology is cutting-edge and the medical team's expertise is evident. Very impressed overall."",2025-10-22,Chicago"
"RESP_183,5,""Mixed bag. Good scan quality but too many operational issues to feel good about the overall value. Customer service needs improvement."",2025-10-21,Miami"
"RESP_184,10,""Best healthcare decision I've ever made. The scan found something important early and the care throughout has been exceptional."",2025-10-21,Seattle"
"RESP_185,2,""Confirmed appointment three times. Still got cancelled day-of due to 'system error.' No alternative offered. Completely unprofessional."",2025-10-20,Austin"
"RESP_186,7,""Good solid experience. Nothing spectacular but no major complaints. Professional service and quality scan."",2025-10-20,New York"
"RESP_187,4,""Expected premium service based on pricing. Got average healthcare experience with premium price tag. Not enough differentiation to justify cost."",2025-10-19,San Francisco"
"RESP_188,9,""Excellent from every perspective. Professional, thorough, responsive. This is what modern preventive healthcare should be."",2025-10-19,Denver"
"RESP_189,6,""Fine but nothing special. Scan was done professionally, got results on time. Overall experience was just okay for the price."",2025-10-18,Los Angeles"
"RESP_190,10,""Cannot recommend highly enough. The scan, the expertise, the care - all world-class. This is healthcare innovation done right."",2025-10-18,Toronto"
"RESP_191,3,""Follow-up communication is terrible. Have questions about my results but can't get anyone to respond. Very frustrating experience."",2025-10-17,London"
"RESP_192,8,""Very satisfied overall. Professional service, quality scan, detailed results. Some minor issues but nothing that ruined the experience."",2025-10-17,Boston"
"RESP_193,5,""Scan was good but everything around it was mediocre. For premium price expected premium experience throughout. Got average."",2025-10-16,Chicago"
"RESP_194,9,""Outstanding experience. The preventive insights and expert care exceeded my expectations. Highly recommend for anyone serious about their health."",2025-10-16,Miami"
"RESP_195,1,""Customer service is non-existent. Multiple issues throughout process, zero accountability, no one takes ownership. Worst healthcare experience I've had."",2025-10-15,Seattle"
"RESP_196,7,""Pretty good experience. Scan was thorough, staff was professional. Some administrative hiccups but overall positive."",2025-10-15,Austin"
"RESP_197,4,""Too many issues to overlook. Booking problems, communication gaps, unclear billing. Scan was fine but overall experience was frustrating."",2025-10-14,New York"
"RESP_198,10,""Perfect in every way. This is preventive healthcare at its absolute best. The expertise and care are unmatched."",2025-10-14,San Francisco"
"RESP_199,6,""Adequate but not exceptional. Got the scan done, received results. Nothing particularly memorable about the experience."",2025-10-13,Denver"
"RESP_200,8,""Really good experience with some minor issues. The scan quality and medical expertise were excellent. Would recommend."",2025-10-13,Los Angeles"
"RESP_201,3,""Appointment scheduling is a nightmare. System shows availability that doesn't exist. Wasted hours trying to book."",2025-10-12,Toronto"
"RESP_202,9,""Excellent service throughout. Professional, caring, thorough. The scan insights are valuable and the team's expertise is clear."",2025-10-12,London"
"RESP_203,5,""Middle of the road experience. Nothing terrible but nothing great. For premium price expected more premium service."",2025-10-11,Boston"
